esp1;modo;esp2
Orius albidipennis;;moscas blancas
Orius albidipennis;DEPRD;Thrips meridionalis
Orius albidipennis;DEPRD;Thrips tabaci
Orius laevigatus;DEPRD;Frankliniella occidentalis
Orius laevigatus;;moscas blancas
Orius laevigatus;DEPRD;Thrips meridionalis
Orius laevigatus;DEPRD;Thrips tabaci
Orius limbatus;DEPRD;Frankliniella occidentalis
Orius limbatus;DEPRD;Thrips meridionalis
Orius limbatus;DEPRD;Thrips tabaci
Orius majusculus;DEPRD;Frankliniella occidentalis
Orius majusculus;;moscas blancas
Orius majusculus;DEPRD;Thrips meridionalis
Orius majusculus;DEPRD;Thrips tabaci
Orius niger;DEPRD;Frankliniella occidentalis
Orius niger;DEPRD;Thrips meridionalis
Orius niger;DEPRD;Thrips tabaci
Orius sp;DEPRD;rosquillas negra y verde
Orius sp.;DEPRD;Trips
Paras. Ectoparásitos;PARAS;Plaga
Paras. Endoparásitos;PARAS;Plaga
Pardosa cribata;DEPRD;mosca del mediterráneo
Phytoseiidae;;moscas blancas
Phytoseiulus;DEPRD;moscas blancas
Phytoseiulus persimilis;DEPRD;Araña Roja
Plagiomerus;PARAS;moscas blancas
Platygastridae;PARAS;moscas blancas
Pred. chupadores;DEPRD;Plaga
Pred. masticadores;DEPRD;Plaga
Pred. predadores;DEPRD;Acaros
Psedophonus rufines;DEPRD;mosca del mediterráneo
Pseudococcobius;PARAS;moscas blancas
Pteromalidae;PARAS;moscas blancas
Pyemotes herfsi;PARAS;Scutellista caerulea
Quadrastichus sp.;PARAS;Phyllonistis citrella
Rhyzobius forestieri;DEPRD;Saissetia oleae
Rhyzobius lophantae;DEPRD;Aonidiella aurantii
Rhyzobius lophantae;DEPRD;Aspidiotus nerii
Rhyzobius lophantae;;diaspididos
Rhyzobius lophantae;DEPRD;Parlatoria pergandii
Rhyzobius lophante;PARAS;Diaspididos
Rodolia cardinalis;;Icerya purchasi
Rodolia cardinalis;DEPRD;Icerya purchasi
Rodolia cardinalis;PARAS;Icerya purchasi
Rodolia cardinalis;DEPRD;Icerya purchasi
Scutellista caerulea;DEPRD;Ceroplastes sinensis
Scutellista caerulea;DEPRD;Saissetia oleae
Semidalis aleyrodiformis;DEPRD;Aonidiella aurantii
Semielacher petiolatus;PARAS;Phyllonistis citrella
Signiphora;PARAS;moscas blancas
Signiphoridae;PARAS;moscas blancas
Stigmaeidae;;moscas blancas
Stresiptera;PARAS;moscas blancas
Synpherobius conspersus;DEPRD;Planococcus citri
Synpherobius elegans;DEPRD;Planococcus citri
Synpherobius fallans;DEPRD;Planococcus citri
Taquinidos;PARAS;Plaga
Thripastichus gentilei ;PARAS;Gynaikothrips ficorun
Thripinema spp.;PARAS;Frankliniella occidentalis
Thyphlodromus occidentalis;PARAS;Tetranichus urticae
Trichogramma achaeae;DEPRD;Tuta absoluta
Trichogramma sp;PARAS;Orugas
Trichogramma sp.;PARAS;Chrysodeixis chalcites
Trichogramma sp.;PARAS;Cydia pomonella
Tripobius semiluteus;PARAS;Heliothrips haemorrhoidalis
Tripobius spp;PARAS;Heliothrips haemorrhoidalis
Tripobius spp;PARAS;Hercinothrips femoralis
Typhlodromus;DEPRD;moscas blancas
;;Chaetanaphothrips orchidii
;;Gynaikothrips ficorum
;;Haplothrips cottei
;;Haplothrips tritici
;;Heliothrips haemorrhoidalis
;;Hercinothrips femoralis
;;Limothrips cerealium
;;Limothrips denticornis
;;Liothrips oleae
;;Pezothrips dianthi
;;Pezothrips kellianus
;;Scirtothrips inermis
;;Thrips angusticeps
;;Thrips meridionalis
;;Thrips simplex
